seed_order,seed_group,mismatch_seed,pvt,baseline_hard_dynamic_pass,resized_hard_dynamic_pass,hard_dynamic_transition,baseline_snr_budget_pass,resized_snr_budget_pass,snr_budget_transition,baseline_codes_all_checksum,resized_codes_all_checksum,baseline_codes_retained_checksum,resized_codes_retained_checksum,baseline_SNR_dB,resized_SNR_dB,delta_resize_minus_baseline_SNR_dB,baseline_SNDR_dB,resized_SNDR_dB,delta_resize_minus_baseline_SNDR_dB,baseline_ENOB_raw_bit,resized_ENOB_raw_bit,delta_resize_minus_baseline_ENOB_raw_bit,baseline_SFDR_dBc,resized_SFDR_dBc,delta_resize_minus_baseline_SFDR_dBc,baseline_THD_dB,resized_THD_dB,delta_resize_minus_baseline_THD_dB,baseline_HD2_dBc,resized_HD2_dBc,delta_resize_minus_baseline_HD2_dBc,baseline_HD3_dBc,resized_HD3_dBc,delta_resize_minus_baseline_HD3_dBc
1,DEEP_TAIL,44,SS_3P0_125C,False,True,FAIL_TO_PASS,False,True,FAIL_TO_PASS,2b6839e0d462c4c59946b94096afb1bf4f0483eec42eeaf1e934f12813dca090,b1934ef574a36b4afcdfcee0753a30272f67c3ba17cf0124db775f267d666427,5dc76bfde1c5952dc0ee39975572438c0e89dd9778a5b6307e38249cb099eff0,714baedc57626db0904fe425a3022969d4bb985a6c6cc8ab0fbe3f9eb706576f,47.47846599809377,49.55090313955259,2.0724371414588205,46.84029500071177,49.15477787940793,2.314482878696161,7.48842109646375,7.8728866909315505,0.3844655944678008,56.25034899787287,56.88863961012528,0.6382906122524119,-55.48394636735068,-59.75085289170344,-4.2669065243527555,-67.401231181974,-67.43858662175698,-0.037355439782984945,-82.6904032702599,-84.00439268838959,-1.3139894181296796
2,DEEP_TAIL,26,SS_3P0_125C,False,True,FAIL_TO_PASS,False,True,FAIL_TO_PASS,308321bbfa694e9f50b69ca04f32c87fd5b8a7da240873a445a310a9c6f29289,ee3f1ad03bc9336d27906434b80232ba42f4df2aedd0e995b54e892a06d7da96,0ab894f63e50649c033a4d3ae2e5ff44470cb9a92dddcd1f1361d47fa7b5b3dc,602a9d5e7995c1949e1a4704b9a5b08c5f73da01c9104b93fb9347ef5b90aea7,46.67507254318535,49.01667704065494,2.3416044974695893,46.31736493935732,48.400563107834984,2.083198168477665,7.4015556377669975,7.747601845155314,0.3460462073883166,56.470991488413915,57.77568345637568,1.304691967961766,-57.33755259170998,-57.186211609977846,0.15134098173213317,-63.388523224038316,-62.14684140717517,1.2416818168631494,-60.07824348462924,-68.07892356374869,-8.000680079119448
3,DEEP_TAIL,65,SS_3P0_125C,True,True,PASS_STAYS_PASS,False,True,FAIL_TO_PASS,76d0c5f0e71770fa699bbbed5657d207fb65473118dda58f2d77893259b587e5,24d929f674009514e4f2c620e7aae942767e4919eb049505863b9a635241e241,06ec922764d6468f523f97a994bf6602cc8c62ec0ecc7d0b30d6aa1d4809bada,fe324228d8b1d33dd821772ba1ff325fa8ffc5b3e32af0cb39fd69da5e3dec5f,47.451855416537605,48.50417139625727,1.0523159797196655,47.00708535946024,47.24000029480123,0.23291493534098606,7.5161271361229645,7.5548173247178125,0.038690188594848074,53.69926099836762,55.348094058070416,1.6488330597027954,-57.12406033847368,-53.216548574885195,3.907511763588488,-66.51650732625923,-61.27897601967259,5.237531306586639,-62.32876783078658,-55.348094058070416,6.980673772716166
4,DEEP_TAIL,21,SS_3P0_125C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,76b00346a1d7d8453bf85a181537afe335494ab165535347ea3a73dd23c3f02c,18e22f305746ff2f769d4fd7f5fb686b9c45e7c62fbdd7a2650acb42dd750950,b4223e33dd1e3f256fa73a8c17097ff8f0f3f5bc506493089e006a7ef42f72d7,90cb219a6f413257c6f42af9aad4b964c00391b8dd7e35f95f15d38aa70300ed,49.31295888804036,49.13779244717418,-0.17516644086618527,48.43033752309501,48.299203552825034,-0.1311339702699783,7.752547761311464,7.730764709771601,-0.021783051539863152,56.89720176571339,57.36904675499507,0.47184498928167784,-55.784275526741226,-55.85410526680352,-0.06982974006229625,-57.306749223611845,-66.6131870534303,-9.30643782981845,-65.80882328947256,-64.22345779676752,1.5853654927050371
5,DEEP_TAIL,36,SS_3P0_125C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,068e8247a5534a5e1af5206bae5cbd5170c5620554f1ae8bba1fff5cf3be4558,f76e0f5b0c75a7e2545141dd707fc719841a7f3cbc6fad1a173e8c4bd93a9cde,c87dcf8a543cb5851f88602fd62deff49f72090471ecf1599aa41db83a6e4b3a,b70e55b8e2aacb7c2860ace86374ac2a2585c9bdcbe1e49152be683079e6aad4,49.35108799590962,48.70560924997601,-0.645478745933616,48.9031075523327,47.45479106123633,-1.4483164910963708,7.831080988759585,7.590496854025969,-0.2405841347336164,58.4132970338279,55.60748366272287,-2.8058133711050317,-58.99042509632387,-53.47110133275869,5.5193237635651755,-69.70387860417229,-61.899706143081815,7.804172461090474,-70.63451123359134,-60.60645572906631,10.028055504525028
6,DEEP_TAIL,2,SS_3P0_125C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,2539bade5bc6268a832d7f94f204b789eec1088d31b358f0cbbac0697f374b4e,848eea6b95f812a5a0b980cdc79800fceb8b9e071f8c0a8c5cd315ecb7372bab,eb39b59e724153277ade9d624526f64f50b3603901bcdff2bbb489f3d14dbf24,66a03ac84fa8f9cc40cc684106ed14a9404988511918aa185c1c2c43b4a77251,49.37154100016747,49.19247736133812,-0.17906363882934784,48.48373047334108,48.345625322698794,-0.13810515064228923,7.761417022149683,7.738475967225714,-0.022941054923968807,58.3824210813281,58.21568185087875,-0.1667392304493447,-55.81471643428665,-55.8619407679289,-0.047224333642247984,-59.89528848966013,-70.18605852705564,-10.290770037395504,-60.25277979656514,-60.10544444980587,0.14733534675927018
7,DEEP_TAIL,12,SS_3P0_125C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,dceadaad8d9b116bdf7c9ac183dbd0df86e3f3aeb9186268221466e8850d1720,83575403929731b68c06bbf5cdbf4bb103b23eed342cc952a8e5d2e87e6cbf6c,c9b5390fdef524e7826ec86d0b47c7415289f5694d2c94537216ddbcc9fd09d0,3594b69317cfa009154f76a14a88889bb41cf05ad7dc043ac6b1c92c429a0fb3,48.228483500795186,49.31133409418606,1.082850593390873,47.30840123598422,48.81104652580555,1.5026452898213307,7.56617960730635,7.815788459436139,0.24960885212978923,55.710790052304674,59.48326695042897,3.772476898124296,-54.499900019935254,-58.444435290027016,-3.9445352700917624,-68.44280955574311,-62.70377327915854,5.739036276584571,-64.63373571974165,-68.08636549812131,-3.4526297783796593
8,DEEP_TAIL,182,SS_3P0_125C,True,True,PASS_STAYS_PASS,False,True,FAIL_TO_PASS,09fd24095223b5ec89c83182d57a2bde11a9cf3b6b55be0a56eca8a6cd41d958,d767331b16c4ffac114b5d56a77c1772f82f6eebaef15f3c7b0bfb6e8910ea77,72a68cd7d2eaa68a22f8436a64349cd6dbe8621faada374aeee751665e99795d,c0e2e94c1bf23c1ce17229e7537761ffde114b56142d5690fc64538373d2f428,48.00851014763141,50.629211089721935,2.6207009420905223,47.10978043838577,49.81050645460641,2.700726016220642,7.533186119333185,7.981811703422993,0.44862558408980835,57.06328895399502,57.81101614137674,0.7477271873817202,-54.39295088288743,-57.460000586570075,-3.067049703682642,-60.24259516568912,-66.76487588403123,-6.52228071834211,-61.350710342851016,-61.69178770013996,-0.3410773572889454
9,MIDDLE_TAIL,86,SS_3P0_125C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,d38256b7981ac47b16996824ae65a1a7d823f730e446d8b2f1053d3905b87c60,6d2ba83f1f4494780a090c4298cd11d46f14ea2eacdc249e68a2c65fe3a79915,ba605e8bc682d800a7adc918912d67fbbfe727c2180d47008eceaa32cd097dc1,995dc995416299d717cf1d1488d051e2e384ad6608fad61818e655870cdd35e5,48.193806001863415,49.808690535492346,1.6148845336289313,47.78732981956451,49.01670394652008,1.2293741269555696,7.645735850425999,7.849950821681078,0.20421497125507848,56.05112893247046,58.76216371338052,2.7110347809100546,-58.276474944313534,-56.79734591258516,1.4791290317283767,-67.47410106145946,-64.5835685246142,2.890532536845271,-77.86845106823314,-64.46309777912353,13.405353289109613
10,MIDDLE_TAIL,80,SS_3P0_125C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,a2ac4771e32ce4c09f6df266c79e2d28574cfc4c794fed531abca89000e52226,431ba54713e350fb363d5b7e53a18709b0b05ce6fa710c9920c888fa7fb61382,7d3994fdf7a944c1f0e6ab9e8d8c9fb909e588e9a05d3c14ff6d10b1bb2b35b0,5f0198966f72040e5296f35f765347787e7a986895eac29d9b03555326ac38ba,49.44917427446043,48.817644342091725,-0.6315299323687071,49.15710682278289,48.13251148200816,-1.0245953407747308,7.87327355860181,7.703074997011323,-0.17019856159048707,57.73987911438884,55.2652332360325,-2.474645878356341,-61.02533366867843,-56.49067044365103,4.534663225027401,-67.3607633991091,-63.897851403679994,3.46291199542911,-71.5321929501644,-59.00765055465321,12.52454239551119
