category,mismatch_seed,noise_seed,repeat_index,frame_index,ideal_vid_v,commanded_vid_v,code,valid,invalid_v,timeout_v,complete_time_s,measurement_stem,measurement_maxstep_ps,measurement_solver_profile
MC200_MAIN,2,100002,,13,-0.7648293027139206,-0.7647504384223655,68,True,0.0,0.0,6.87548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,14,-1.40981853608705,-1.4099176988344653,20,True,0.0,0.0,7.37548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,15,-1.4147796287657606,-1.4146868148787406,19,True,0.0,0.0,7.87548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,16,-0.7774603483941246,-0.7774423196796384,67,True,0.0,0.0,8.37548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,17,0.21280967599837608,0.21287328129957175,142,True,0.0,0.0,8.87548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,18,1.106468556641088,1.1064669697232585,209,True,0.0,0.0,9.37548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,19,1.4978138452031033,1.497910600290017,239,True,0.0,0.0,9.87548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,20,1.2091829624257837,1.2090892642134818,217,True,0.0,0.0,1.03755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,21,0.3716082947633996,0.37154127976880197,154,True,0.0,0.0,1.08755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,22,-0.6346687696089611,-0.634572107428467,78,True,0.0,0.0,1.13755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,23,-1.3528194814245906,-1.3527718820275296,24,True,0.0,0.0,1.18755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,24,-1.4568184316989683,-1.4567816315131663,16,True,0.0,0.0,1.23755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,25,-0.8994522712850329,-0.899400174140638,58,True,0.0,0.0,1.28755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,26,0.0662464156905973,0.06616229928588875,131,True,0.0,0.0,1.33755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,27,1.0018706149383227,1.0017827901637142,201,True,0.0,0.0,1.38755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,28,1.482666500837955,1.4826022251950888,238,True,0.0,0.0,1.43755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,29,1.2903627930586585,1.2904051940531678,223,True,0.0,0.0,1.48755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,30,0.5122613544914112,0.5123605282981473,164,True,0.0,0.0,1.53755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,31,-0.4983960293074411,-0.4983128093608476,88,True,0.0,0.0,1.58755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,32,-1.2827920356296636,-1.2828008566572877,29,True,0.0,0.0,1.63755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,33,-1.4848272767569517,-1.4848621738867074,14,True,0.0,0.0,1.68755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,34,-1.0127819771128357,-1.012731104738726,49,True,0.0,0.0,1.73755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,35,-0.08095483381425642,-0.08095586904037666,120,True,0.0,0.0,1.78755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,36,0.8876241115355172,0.8875584459772288,191,True,0.0,0.0,1.83755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,37,1.453240267561782,1.453313306570226,235,True,0.0,0.0,1.88755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,38,1.3591157246103238,1.3590761095048536,228,True,0.0,0.0,1.93755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,39,0.6479810573451193,0.6480051148003446,175,True,0.0,0.0,1.98755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,40,-0.3573234627926919,-0.3573742231462024,99,True,0.0,0.0,2.03755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,41,-1.2004106012861624,-1.2004076994407822,35,True,0.0,0.0,2.08755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,42,-1.4985364234506107,-1.4985152992639172,13,True,0.0,0.0,2.13755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,43,-1.116358038858104,-1.1163805703287037,42,True,0.0,0.0,2.18755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,44,-0.22737644401505985,-0.22748045068296596,109,True,0.0,0.0,2.23755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,45,0.7648293027139195,0.7648132786125195,183,True,0.0,0.0,2.28755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,46,1.4098185360870479,1.4098385578831982,232,True,0.0,0.0,2.33755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,47,1.414779628765761,1.4148661385557597,233,True,0.0,0.0,2.38755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,48,0.7774603483941213,0.7774478477577759,184,True,0.0,0.0,2.43755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,49,-0.2128096759983695,-0.21286486548581363,110,True,0.0,0.0,2.48755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,50,-1.1064685566410837,-1.1064935087093022,43,True,0.0,0.0,2.53755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,51,-1.4978138452031033,-1.4977532772278737,13,True,0.0,0.0,2.58755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,52,-1.2091829624257844,-1.2092683107058353,35,True,0.0,0.0,2.63755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,53,-0.37160829476340085,-0.37156480018288524,98,True,0.0,0.0,2.68755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,54,0.6346687696089551,0.6347435350861002,174,True,0.0,0.0,2.73755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,55,1.352819481424588,1.35270451073496,228,True,0.0,0.0,2.78755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,56,1.4568184316989696,1.4568385953212875,236,True,0.0,0.0,2.83755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,57,0.8994522712850339,0.8993798676538115,191,True,0.0,0.0,2.88755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,58,-0.06624641569059603,-0.06626611234057164,121,True,0.0,0.0,2.93755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,59,-1.0018706149383219,-1.001752198172542,50,True,0.0,0.0,2.98755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,60,-1.4826665008379531,-1.4825801391980824,14,True,0.0,0.0,3.03755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,61,-1.2903627930586619,-1.2903734962786162,29,True,0.0,0.0,3.08755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,62,-0.5122613544914125,-0.5123406678402743,87,True,0.0,0.0,3.13755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,63,0.4983960293074198,0.498335660401414,163,True,0.0,0.0,3.18755e-05,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,3,100003,,0,1.2827920356296627,1.2828902960507325,226,True,0.0,0.0,3.75497e-07,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,1,1.4848272767569515,1.4847917950223695,242,True,0.0,0.0,8.75503e-07,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,2,1.0127819771128357,1.0127250394037193,206,True,0.0,0.0,1.37548e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,3,0.08095483381425314,0.08097440959825364,136,True,0.0,0.0,1.87551e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,4,-0.887624111535514,-0.8876553625803686,64,True,0.0,0.0,2.37549e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,5,-1.4532402675617817,-1.453264595214216,20,True,0.0,0.0,2.87551e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,6,-1.359115724610322,-1.3592129542928053,27,True,0.0,0.0,3.3755e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,7,-0.6479810573451181,-0.6479892721835194,81,True,0.0,0.0,3.8755e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,8,0.35732346279269056,0.35730001258538896,157,True,0.0,0.0,4.37548e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,9,1.200410601286161,1.2003239249026099,220,True,0.0,0.0,4.8755e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,10,1.4985364234506107,1.4986437497760754,243,True,0.0,0.0,5.3755e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,11,1.1163580388581014,1.116303607351219,214,True,0.0,0.0,5.8755e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,12,0.22737644401506385,0.22747603459454424,147,True,0.0,0.0,6.37551e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,13,-0.7648293027139206,-0.7648970386229174,72,True,0.0,0.0,6.8755e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,14,-1.40981853608705,-1.4098724683458697,24,True,0.0,0.0,7.3755e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,15,-1.4147796287657606,-1.41486700898672,23,True,0.0,0.0,7.87551e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,16,-0.7774603483941246,-0.7775238938555187,71,True,0.0,0.0,8.3755e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,17,0.21280967599837608,0.21290546943145472,146,True,0.0,0.0,8.87551e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,18,1.106468556641088,1.1064697069862584,213,True,0.0,0.0,9.3755e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,19,1.4978138452031033,1.4977943838625398,243,True,0.0,0.0,9.8755e-06,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,20,1.2091829624257837,1.2092480846469778,221,True,0.0,0.0,1.03755e-05,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,21,0.3716082947633996,0.3716380681010167,158,True,0.0,0.0,1.08755e-05,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
