baseline_abs_offset_rank_ascending,mismatch_seed,baseline_cap_x1_offset_lsb,offset_lsb,cap_x1div3_minus_baseline_offset_lsb,offset_v,t1_measured_v,lower_v,upper_v,width_lsb,bisection_rounds,elapsed_s,cpu_affinity,result_sha256
2,31,-0.005859374999989969,0.24023437499998998,0.24609374999997996,0.0031906127929686168,-1.6835281372070314,-1.68360595703125,-1.6834503173828126,0.011718749999996657,7,361.1325248699977,4,2949dc6c2ed8ba71e2fdefb8cb29c5f9d6f577edb4d5104fc656636f3bed4524
14,32,-0.052734375000010034,0.19335937500000336,0.24609375000001338,0.0025680541992187944,-1.6841506958007812,-1.684228515625,-1.6840728759765626,0.011718749999996657,7,359.7895964249983,2,14e46313943331450ebd50fdab91a88a1bc15fb50649211b4d94f2b65ce3d65e
17,33,0.06445312499998997,0.31054687500000333,0.24609375000001338,0.004124450683593794,-1.6825942993164062,-1.682672119140625,-1.6825164794921874,0.011718750000013375,7,358.5873654290008,8,a9d308ddc76b93ac5298812e8a9727fd00b2289fb2bc43ea1521a28aa4393f8c
39,34,-0.1464843749999833,0.09960937499999666,0.24609374999997996,0.0013229370117187056,-1.6853958129882813,-1.6854736328125002,-1.6853179931640627,0.011718749999996657,7,360.3312263650005,6,52551796034bdaf5cedf5db30230dbcb5d887c626a401ac8873c8fa0324d6de4
10,35,-0.041015624999996655,0.2050781249999833,0.24609374999997996,0.002723693847656028,-1.683995056152344,-1.6840728759765626,-1.6839172363281252,0.011718749999996657,7,360.12973270699877,14,f294d139bdd3c64d87b715af07e0c6c6cafa2938d9d0159bbe28412a08139d79
3,36,-0.005859374999989969,0.24023437499998998,0.24609374999997996,0.0031906127929686168,-1.6835281372070314,-1.68360595703125,-1.6834503173828126,0.011718749999996657,7,361.0268183370026,0,8c3c3f5ee326522bdc357a230a8b5d4c27890dee2fb87d26098f1282a62093d7
99,37,0.6269531249999967,0.8671875000000033,0.24023437500000666,0.011517333984375044,-1.675201416015625,-1.6753051757812498,-1.67509765625,0.01562499999998997,8,0.24978266100151814,10,5e9b8951d1e3d88e4736766e49c43119d0593cad6a26d989fe34a944930cfa0f
80,38,0.40429687500001005,0.6621093750000033,0.2578124999999933,0.008793640136718794,-1.6779251098632812,-1.6780029296875,-1.6778472900390626,0.011718749999996657,7,361.1658298309994,10,91b519f3cbcdfdb3612b6f1ec1590e33ccb30b4ef96289e1fced6677e491ce29
63,39,0.25195312500000333,0.4980468750000167,0.24609375000001338,0.006614685058593972,-1.680104064941406,-1.680181884765625,-1.6800262451171875,0.011718749999996657,7,363.1313242290016,12,3f6a191b905cc86acc6ba4af11a8d6c9365f63e8e6bdbc55094945234a733a52
40,40,0.1464843749999833,0.39257812499999667,0.24609375000001338,0.005213928222656206,-1.6815048217773438,-1.6815826416015625,-1.681427001953125,0.011718749999996657,7,362.5489167930027,2,76975bbb87d928942a4a7923f08e580aae037f2259116623fbd97ff8f561970c
88,41,0.4511718750000301,0.6972656250000101,0.24609374999998002,0.009260559082031383,-1.6774581909179687,-1.6775360107421875,-1.67738037109375,0.011718749999996657,7,361.52578624799935,4,b9298629112157c7813188c7b945445bdf21548f482a4ac3b8058091709d2eee
77,42,-0.3808593750000167,-0.13476562500000336,0.24609375000001335,-0.0017898559570312944,-1.6885086059570313,-1.68858642578125,-1.6884307861328125,0.011718749999996657,7,359.9524029759996,8,0fc7390c8b511bd906aba0a2adac893c3f7b13cb39b3f1f48846c05dc6ebe2d8
75,43,0.36914062500000333,0.6152343750000168,0.24609375000001343,0.008171081542968972,-1.678547668457031,-1.67862548828125,-1.6784698486328125,0.011718749999996657,7,361.53753317200244,6,a4ad0910602959e5e07413789b34802ab18bcb023cb7eed40bd6879a5bedd142
52,44,0.2050781249999833,0.4511718750000301,0.2460937500000468,0.00599212646484415,-1.680726623535156,-1.6808044433593747,-1.6806488037109373,0.011718749999996657,7,360.8127482880009,14,5a1a1011681bf4c34cf8c533c3234d3fcd6237d2e90df45f676b10a44a785727
47,45,0.18164062499998998,0.42773437500000333,0.24609375000001335,0.005680847167968794,-1.6810379028320312,-1.6811157226562499,-1.6809600830078124,0.011718749999996657,7,362.1625033349992,0,68790bd8d00485d92a0d4d1d34cc4c40ac5d53802a4d2f64e82c9384204b48b7
96,46,0.5917968750000234,0.8359375000000067,0.24414062499998324,0.011102294921875089,-1.675616455078125,-1.67572021484375,-1.6755126953125,0.01562500000000669,8,0.25540496300163795,10,0b64c64d5282aed28167c91eb9e0ac8eed58343ba287d4b2a8cef665a67b939d
79,47,0.39257812499999667,0.6386718750000101,0.24609375000001343,0.008482360839843883,-1.6782363891601562,-1.678314208984375,-1.6781585693359375,0.011718749999996657,7,366.04367775799983,10,ce6d535bea17f8d63879f98bdba07662def718013eb204e13fd5555a67c661d1
20,48,0.07617187500000334,0.3222656250000167,0.24609375000001338,0.004280090332031472,-1.6824386596679686,-1.6825164794921874,-1.68236083984375,0.011718749999996657,7,367.21894077899924,8,7b71ee912a2100254f41dd2eccb6f849c74a3ca2cf7e52fb6772f0c60327a9b1
