target_transition,lower_v,transition_v,upper_v,inl_ep_lsb
89,-0.536658988411971,-0.5365811685877523,-0.5365033487635336,0.06454842286840641
90,-0.5233973465566562,-0.5233195267324374,-0.5232417069082187,0.06454842286840641
91,-0.5098244254044662,-0.5097466055802473,-0.5096687857560286,0.0880205766387383
92,-0.4970297024944637,-0.4969518826702449,-0.4968740628460262,0.05281234598324465
93,-0.48345678134227366,-0.48337896151805493,-0.48330114169383614,0.07628449975356817
94,-0.4701951394869588,-0.47011731966274006,-0.4700394998385213,0.07628449975356817
95,-0.4564665786863314,-0.4563887588621126,-0.4563109390378939,0.11149273040907018
96,-0.4495861624169538,-0.4495083425927351,-0.4494305227685163,-0.3696864218827042
97,-0.43009893462413895,-0.4300211147999202,-0.42994329497570144,0.09975665352390005
98,-0.41683729276882386,-0.41675947294460514,-0.41668165312038635,0.09975665352390005
99,-0.40310873196819647,-0.4030309121439777,-0.40295309231975895,0.13496488417940206
100,-0.3904696487066314,-0.39039182888241264,-0.3903140090581939,0.0880205766387383
101,-0.376741087906004,-0.3766632680817853,-0.3765854482575665,0.12322880729423194
102,-0.36347944605068916,-0.36340162622647043,-0.36332380640225165,0.12322880729423194
103,-0.34975088525006154,-0.34967306542584276,-0.349595245601624,0.15843703794973396
104,-0.33804563987912173,-0.337967820054903,-0.3378900002306842,0.04107626909807452
105,-0.32400579978161914,-0.3239279799574004,-0.32385016013318163,0.09975665352390005
106,-0.3107441579263043,-0.31066633810208555,-0.31058851827786677,0.09975665352390005
107,-0.29701559712567666,-0.2969377773014579,-0.29685995747723914,0.13496488417940206
108,-0.28437651386411184,-0.28429869403989305,-0.2842208742156743,0.0880205766387383
109,-0.27064795306348444,-0.2705701332392657,-0.2704923134150469,0.12322880729423194
110,-0.25738631120816935,-0.2573084913839506,-0.25723067155973184,0.12322880729423194
111,-0.24381339005597946,-0.2437355702317607,-0.24365775040754195,0.14670096106456593
112,-0.23350890152097692,-0.23343108169675816,-0.2333532618725394,-0.07628449975357444
113,-0.218068304587537,-0.21799048476331828,-0.21791266493909953,0.0880205766387383
114,-0.20480666273222192,-0.2047288429080032,-0.20465102308378444,0.0880205766387383
115,-0.19107810193159458,-0.19100028210737582,-0.19092246228315707,0.12322880729423404
116,-0.1784390186700297,-0.17836119884581095,-0.1782833790215922,0.07628449975357444
117,-0.16471045786940214,-0.16463263804518338,-0.16455481822096463,0.11149273040906808
118,-0.15144881601408727,-0.15137099618986852,-0.15129317636564976,0.11149273040906808
119,-0.13772025521345965,-0.1376424353892409,-0.13756461556502214,0.14670096106456593
120,-0.12601500984251982,-0.12593719001830106,-0.12585937019408233,0.029340192212912765
121,-0.11197516974501721,-0.11189734992079847,-0.11181953009657972,0.0880205766387383
122,-0.09871352788970235,-0.09863570806548361,-0.09855788824126485,0.0880205766387383
123,-0.08498496708907499,-0.08490714726485624,-0.0848293274406375,0.12322880729423404
124,-0.0723458838275099,-0.07226806400329114,-0.0721902441790724,0.07628449975357444
125,-0.05861732302688254,-0.05853950320266379,-0.05846168337844504,0.11149273040906861
126,-0.04535568117156745,-0.0452778613473487,-0.04520004152312995,0.11149273040906861
127,-0.03178276001937759,-0.031704940195158834,-0.031627120370940086,0.13496488417939892
128,-0.0203369140625,-0.020233154296875,-0.020129394531249997,0.0
