mismatch_seed,sampler_offset_v,sampler_gain_negative,sampler_gain_positive,sampler_asymmetry_ppm,sampler_fit_rms_v,correction_offset_v,correction_vicm_slope_scaled_v,correction_settling_scale_v,correction_major_fit_max_error_lsb,correction_major_fit_rms_error_lsb,offset_lsb,gain_error_ppm,endpoint_lsb_v,minimum_code_width_lsb,missing_code_count,max_abs_dnl_lsb,max_abs_inl_endpoint_lsb,max_abs_inl_best_fit_lsb,worst_width_lower_code,worst_dnl_lower_transition,worst_inl_transition,static_risk_score,reconstructed_spec_status,cohort_residual_recalibrated
47,9.747613923478875e-06,1.0000001453321932,1.000001663580951,1.5182473846369768,1.988310840758382e-06,0.023528733209013383,0.01893221985829197,2.5619098802186633e-05,0.025394126735284118,0.0211205311458366,1.9694296262219315,-1261.961295610514,0.013264489576542672,0.3343945182130672,0,0.736328061216571,0.7438026170574991,0.7019536139273194,64,63,64,0.736328061216571,PASS,True
48,1.019827568378841e-05,1.000000718982472,0.9999989791630892,-1.7398196453705879,8.244949071313195e-07,-0.0015515178018056996,0.008900578590751546,3.7239427491705745e-05,0.013077770956595042,0.0073935969105238895,0.056792020767873326,-1239.017514595875,0.013264794298634273,0.6284149310886433,0,0.3715850689113567,0.32225145522671444,0.3116373686538874,64,64,64,0.3715850689113567,PASS,True
49,1.0233001751428934e-05,1.0000009038661133,0.9999990216673844,-1.8821987989556757,8.508968893743443e-07,0.01586774529456512,0.04519165900283368,4.146461602479909e-05,0.055994377081094976,0.046284145974040194,1.4223805670839424,-1319.391933798153,0.013263726825879243,-0.7030441236520327,2,1.7030441236520328,1.6552240099963422,1.5950615226589016,64,64,64,1.7030441236520328,FAIL,True
50,1.0178014313673239e-05,0.999999936645192,0.9999982456746517,-1.6909720771921248,1.1671854343201729e-06,-0.016956427983952645,-0.021606005212483362,6.074026735892118e-05,0.020719023060248636,0.016841938810901465,-1.142854033453823,-1259.7099778235422,0.01326451947685703,0.19696003221293742,0,0.8223718503419126,0.8682298963070118,0.8061721431193268,191,192,192,0.8223718503419126,PASS,True
51,9.618836604706311e-06,0.9999987045102194,1.0000009035924837,2.199082695194282,1.0086720176308943e-06,0.011764254528282676,0.029345030066308245,6.826263327985513e-05,0.03625771169753979,0.030189762139216234,1.0893794314742757,-1247.2503047766813,0.013264684956889684,-0.07806513120268377,2,1.1119426800423753,1.0708433462526628,1.043727204851024,64,63,64,1.1119426800423753,FAIL,True
52,1.0313844425881974e-05,1.0000005626753568,0.9999983460679704,-2.216608595751706,1.1710895586269934e-06,0.004915731455556418,-0.022801092882840417,2.2068659122016145e-05,0.028948019082992486,0.022089142569040203,0.47681553687851874,-1336.2405321947213,0.013263503055431789,0.22213823010724384,0,0.8800964134579947,0.8937853868642454,0.8409592251182842,191,192,192,0.8800964134579947,PASS,True
53,1.0306700794627104e-05,1.000000111721732,0.9999984230174963,-1.6887054729774338,1.103856255695091e-06,-0.03873230622458021,-0.02473966681229656,2.3999408598528142e-05,0.023270626495716294,0.01776540000195727,-2.7819773416645184,-1314.3934804346059,0.013263793211587977,0.17427976621784225,0,1.013507320469289,0.9326442469702015,0.8893032110564669,191,192,64,1.013507320469289,FAIL,True
54,9.770503924098618e-06,0.9999986162598138,0.9999996877487968,1.071489891603185,1.1598651057920258e-06,0.03187564062972913,0.020090529164540908,5.981323860167818e-05,0.008154894918905994,0.005353304301280811,2.597907309457091,-1302.6236350801578,0.01326394952984659,0.23478713528163772,0,0.7652128647183623,0.8002802483335727,0.7523338164498483,64,64,64,0.7652128647183623,PASS,True
55,9.672355003335529e-06,0.9999988088823781,1.0000012122640676,2.403381664030496,1.0329732944880127e-06,-0.012439298609605937,-0.005192937637734883,7.121773666759766e-05,0.005445762749280338,0.003285848165042314,-0.8258676454897629,-1234.1238639825835,0.01326485929243148,0.8917297739236074,0,0.25614265264305813,0.2483134708975614,0.21709649409568368,191,192,192,0.25614265264305813,PASS,True
56,1.0138254951687336e-05,1.0000004560071292,0.9999999435957472,-0.5124112796115845,5.242554843729619e-07,0.03524113231527317,0.0300677814880624,9.737585857417051e-06,0.03608045028568315,0.028527617039392703,2.815591949963234,-1242.2509259137903,0.013264751354890207,-0.07458363832118176,2,1.1965820375436609,1.1128470993902106,1.0906482470707806,64,63,192,1.1965820375436609,FAIL,True
