mismatch_seed,noise_seed,low_present,near_present,valid_die,hard_dynamic_pass_both,snr_budget_pass_both,preferred_nominal_pass_both,die_state,low_snr_db,low_sndr_db,low_enob_raw,low_sfdr_dbc,low_thd_db,low_state,low_hard_dynamic_pass,low_snr_budget_pass,near_snr_db,near_sndr_db,near_enob_raw,near_sfdr_dbc,near_thd_db,near_state,near_hard_dynamic_pass,near_snr_budget_pass,snr_worst_band,sndr_worst_band,enob_worst_band,snr_worst_band_name,sndr_worst_band_name,enob_worst_band_name
27,100027,True,True,True,True,True,True,VALID_PASS,48.41440050358008,48.00217651435476,7.681424670158599,56.48675485756402,-58.43316881355361,VALID_PASS,True,True,48.23737890053883,47.96802019108527,7.675750862306525,55.692618432319904,-60.17653636335762,VALID_PASS,True,True,48.23737890053883,47.96802019108527,7.675750862306525,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
28,100028,True,True,True,True,False,False,VALID_PASS,49.738992651826415,48.54318769175629,7.771293636504367,55.47982076449027,-54.728619351943244,VALID_PASS,True,True,48.00957109429063,47.77593450463766,7.643842940969712,56.564701547936295,-60.58466363773693,VALID_PASS,True,False,48.00957109429063,47.77593450463766,7.643842940969712,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
29,100029,True,True,True,True,False,False,VALID_PASS,47.68512263308882,47.39748890506008,7.580978223431908,56.345904888031825,-59.32995705833629,VALID_PASS,True,False,49.49009466748835,48.43329838009054,7.753039598021686,57.319085329548464,-55.088917257515845,VALID_PASS,True,True,47.68512263308882,47.39748890506008,7.580978223431908,LOW,LOW,LOW
30,100030,True,True,True,True,True,True,VALID_PASS,50.18633250834498,49.26720802007725,7.891562794032766,57.23247400260004,-56.462768026527506,VALID_PASS,True,True,48.79945609817984,48.3761616628704,7.743548448981795,57.29696397524237,-58.697507483289144,VALID_PASS,True,True,48.79945609817984,48.3761616628704,7.743548448981795,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
31,100031,True,True,True,True,True,True,VALID_PASS,50.364488888629104,49.22373178546478,7.884340828150297,57.051384097067285,-55.587543738728215,VALID_PASS,True,True,48.55659813241317,48.27863470884541,7.727347958279969,56.8151730103382,-60.35484176248736,VALID_PASS,True,True,48.55659813241317,48.27863470884541,7.727347958279969,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
32,100032,True,True,True,True,True,True,VALID_PASS,49.473347228808606,48.79339936531676,7.812857037428034,57.83882931402721,-57.18202554716281,VALID_PASS,True,True,48.918610072921204,48.40474846055784,7.748297086471403,58.33250139262817,-57.928527563269434,VALID_PASS,True,True,48.918610072921204,48.40474846055784,7.748297086471403,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
33,100033,True,True,True,True,True,True,VALID_PASS,49.34191165597077,48.63940892828097,7.787277230611458,57.146121172772254,-56.89728950110478,VALID_PASS,True,True,49.06781694264549,48.48975786639018,7.762418250230928,56.24493456374785,-57.53370285317439,VALID_PASS,True,True,49.06781694264549,48.48975786639018,7.762418250230928,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
34,100034,True,True,True,True,True,True,VALID_PASS,49.15550230075492,48.38274379647742,7.7446418266573795,57.591989808554835,-56.260800566041276,VALID_PASS,True,True,48.27293943472352,47.82934465516096,7.652715058996838,55.9886390017007,-57.95723316418459,VALID_PASS,True,True,48.27293943472352,47.82934465516096,7.652715058996838,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
35,100035,True,True,True,True,True,True,VALID_PASS,49.43816185215952,48.83831076624864,7.8203174030313365,54.96132878985102,-57.732193313510436,VALID_PASS,True,True,48.73694644272533,47.95162181131133,7.673026878955371,57.02508411863063,-55.76571964207523,VALID_PASS,True,True,48.73694644272533,47.95162181131133,7.673026878955371,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
36,100036,True,True,True,False,False,False,VALID_FAIL,32.82007153269149,32.10648190610218,5.040943838222954,44.35256974136692,-40.30175023458712,VALID_FAIL,False,False,47.32628820548784,46.618190979381225,7.451526740761001,56.19126092180831,-54.844344339622424,VALID_FAIL,False,False,32.82007153269149,32.10648190610218,5.040943838222954,LOW,LOW,LOW
