target_id,mismatch_seed,band,reasons,reference,code_exact,differing_frame_count,differing_frames,metric_exact,electrical_exact,current_state,reference_state,state_comparable,state_exact,current_maxstep_ps,reference_maxstep_ps,current_solver_profile,reference_solver_profile,same_execution_profile,current_snr_db,reference_snr_db,delta_snr_db,current_sndr_db,reference_sndr_db,delta_sndr_db,current_enob,reference_enob,delta_enob,current_sfdr_dbc,reference_sfdr_dbc,delta_sfdr_dbc,current_thd_db,reference_thd_db,delta_thd_db,mismatch_checksum_match,noise_checksum_match
S074_NEAR_NYQUIST,74,NEAR_NYQUIST,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH,V11_MC10,True,0,,True,True,VALID_PASS,VALID_PASS,True,True,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,48.94234596323276,48.94234596323276,0.0,48.64717692155502,48.64717692155502,0.0,7.788567594942696,7.788567594942696,0.0,57.14150805953743,57.14150805953743,0.0,-60.47106065075611,-60.47106065075611,0.0,True,True
S090_LOW,90,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,EARLY_MC200,False,1,27,False,False,VALID_PASS,PASS,False,,50.0,100.0,ROBUST_GEAR,DEFAULT,False,47.88512215821794,48.65495359411586,-0.7698314358979204,46.968186883424856,47.10492002064609,-0.1367331372212348,7.509665595253299,7.5323787409711125,-0.022713145717813354,56.286478683673806,55.49908085376096,0.7873978299128481,-54.17304738504255,-52.331342455264824,-1.8417049297777268,,
S090_LOW,90,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,V7_MC200,True,0,,True,True,VALID_PASS,VALID_PASS,True,True,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,47.88512215821794,47.88512215821794,0.0,46.968186883424856,46.968186883424856,0.0,7.509665595253299,7.509665595253299,0.0,56.286478683673806,56.286478683673806,0.0,-54.17304738504255,-54.17304738504255,0.0,True,True
S095_LOW,95,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,EARLY_MC200,False,1,0,False,False,VALID_PASS,FAIL,False,,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,48.58101468404202,32.98747395216727,15.593540731874747,47.699003435061655,32.1916939370499,15.507309498011757,7.631063693531837,5.055098660639518,2.575965032892319,56.64867168693479,44.63034914839543,12.018322538539358,-55.055649821036425,-39.95342285541999,-15.102226965616438,,
S095_LOW,95,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,V7_MC200,True,0,,True,True,VALID_PASS,VALID_PASS,True,True,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,48.58101468404202,48.58101468404202,0.0,47.699003435061655,47.699003435061655,0.0,7.631063693531837,7.631063693531837,0.0,56.64867168693479,56.64867168693479,0.0,-55.055649821036425,-55.055649821036425,0.0,True,True
S096_LOW,96,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,EARLY_MC200,False,2,0;1,False,False,VALID_PASS,FAIL,False,,50.0,100.0,ROBUST_GEAR,DEFAULT,False,50.58547420630652,23.56533572386125,27.020138482445272,49.59963529048668,23.28307184219945,26.31656344828723,7.946783270844964,3.5752611033553907,4.371522167489573,57.64571669434618,34.76592103735107,22.879795656995107,-56.52301798074732,-35.29472943673889,-21.22828854400843,,
S096_LOW,96,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,V7_MC200,True,0,,True,True,VALID_PASS,VALID_PASS,True,True,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,50.58547420630652,50.58547420630652,0.0,49.59963529048668,49.59963529048668,0.0,7.946783270844964,7.946783270844964,0.0,57.64571669434618,57.64571669434618,0.0,-56.52301798074732,-56.52301798074732,0.0,True,True
S098_LOW,98,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,EARLY_MC200,True,0,,True,True,VALID_PASS,PASS,False,,50.0,100.0,ROBUST_GEAR,DEFAULT,False,49.31367344756129,49.31367344756129,0.0,48.68804816349957,48.68804816349957,0.0,7.795356837790628,7.795356837790628,0.0,57.80457589245497,57.80457589245497,0.0,-57.411806447953154,-57.411806447953154,0.0,,
S098_LOW,98,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,V7_MC200,False,1,1,False,False,VALID_PASS,VALID_FAIL,True,False,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,49.31367344756129,32.90908579786515,16.40458764969614,48.68804816349957,32.264519507904424,16.42352865559515,7.795356837790628,5.0671959315455855,2.7281609062450425,57.80457589245497,45.38547957313672,12.41909631931825,-57.411806447953154,-40.867984589007484,-16.54382185894567,True,True
S100_LOW,100,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH;EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH,EARLY_MC200,True,0,,True,True,VALID_PASS,PASS,False,,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,49.86885322449879,49.86885322449879,0.0,48.07542899030289,48.07542899030289,0.0,7.693592855532042,7.693592855532042,0.0,56.70930153873768,56.70930153873768,0.0,-52.782339419106435,-52.782339419106435,0.0,,
