target_transition,lower_v,transition_v,upper_v,inl_ep_lsb
65,-0.8502205916277068,-0.8501427718034881,-0.8500649519792693,0.07632211538461035
66,-0.8368098461721827,-0.8367320263479638,-0.8366542065237451,0.08806397928994082
67,-0.8232434610682211,-0.8231656412440023,-0.8230878214197835,0.11154770710059338
68,-0.8102996345580094,-0.8102218147337906,-0.8101439949095719,0.08806397928994082
69,-0.7968888891024853,-0.7968110692782666,-0.7967332494540478,0.09980584319526291
70,-0.7836337832953987,-0.78355596347118,-0.7834781436469611,0.09980584319526291
71,-0.7700673981914371,-0.7699895783672184,-0.7699117585429995,0.12328957100591546
72,-0.7574348509781005,-0.7573570311538818,-0.7572792113296629,0.07632211538461035
73,-0.7441797451710139,-0.7441019253467952,-0.7440241055225765,0.07632211538461035
74,-0.7309246393639273,-0.7308468195397085,-0.7307689997154898,0.07632211538461035
75,-0.7173582542599656,-0.7172804344357468,-0.717202614611528,0.09980584319526291
76,-0.7042587881013165,-0.7041809682770978,-0.704103148452879,0.08806397928994082
77,-0.69100368229423,-0.6909258624700112,-0.6908480426457925,0.08806397928994082
78,-0.6775929368387058,-0.6775151170144871,-0.6774372971902682,0.09980584319526291
79,-0.6640265517347441,-0.6639487319105254,-0.6638709120863067,0.12328957100591546
80,-0.6518609234667199,-0.6517831036425011,-0.6517052838182824,0.041096523668644074
81,-0.6382945383627585,-0.6382167185385398,-0.6381388987143211,0.06458025147928825
82,-0.6248837929072344,-0.6248059730830157,-0.6247281532587969,0.07632211538461035
83,-0.6113174078032727,-0.611239587979054,-0.6111617681548351,0.09980584319526291
84,-0.5983735812930611,-0.5982957614688423,-0.5982179416446236,0.07632211538461035
85,-0.5849628358375369,-0.5848850160133181,-0.5848071961890994,0.08806397928994082
86,-0.5717077300304505,-0.5716299102062317,-0.5715520903820129,0.08806397928994082
87,-0.5581413449264887,-0.55806352510227,-0.5579857052780512,0.11154770710059338
88,-0.5455087977131521,-0.5454309778889334,-0.5453531580647146,0.06458025147928825
89,-0.5322536919060654,-0.5321758720818467,-0.532098052257628,0.06458025147928825
90,-0.5189985860989788,-0.51892076627476,-0.5188429464505413,0.06458025147928825
91,-0.5054322009950174,-0.5053543811707986,-0.5052765613465798,0.08806397928994082
92,-0.4923327348363682,-0.49225491501214946,-0.4921770951879307,0.07632211538461035
93,-0.4790776290292815,-0.4789998092050628,-0.478921989380844,0.07632211538461035
94,-0.46566688357375735,-0.46558906374953857,-0.46551124392531984,0.08806397928994082
95,-0.4521004984697959,-0.4520226786455771,-0.4519448588213584,0.11154770710059338
96,-0.4402461494986467,-0.440168329674428,-0.4400905098502092,0.005870931952661046
97,-0.42574592650406007,-0.42566810667984134,-0.42559028685562256,0.09980584319526291
98,-0.4123351810485359,-0.4122573612243171,-0.4121795414000984,0.11154770710059338
99,-0.3987687959445742,-0.3986909761203554,-0.3986131562961367,0.13503143491124595
100,-0.3858249694343628,-0.385747149610144,-0.3856693297859253,0.11154770710059338
101,-0.3724142239788386,-0.3723364041546199,-0.3722585843304011,0.12328957100591546
102,-0.35900347852331443,-0.35892565869909565,-0.3588478388748769,0.13503143491124595
103,-0.34543709341935275,-0.34535927359513396,-0.34528145377091524,0.1585151627218985
