sample_index,valid_sample_index,t_sample_s,t_eoc_s,vinp_v,vinn_v,vdiff_v,code_decimal,code_hex,ideal_dac_output_vdiff_v,reconstructed_vdiff_v,quantization_error_v,quantization_error_lsb,clks_falling_sample,eoc_int
57,41,2.85e-05,2.8875e-05,1.599147314366137,1.7008526856338628,-0.10170537126772597,120,0x78,-0.099609375,-0.099609375,0.002095996267725969,0.15781618956995533,1,1
58,42,2.9e-05,2.9375e-05,1.7477111885035073,1.5522888114964926,0.1954223770070149,142,0x8E,0.19257812500000004,0.19257812500000004,-0.0028442520070148525,-0.2141554452340595,1,1
59,43,2.95e-05,2.9874999999999998e-05,1.505815506647085,1.7941844933529147,-0.28836898670582967,106,0x6A,-0.2855468750000001,-0.2855468750000001,0.0028221117058295775,0.21248841079187408,1,1
60,44,3e-05,3.0375e-05,1.84008939265699,1.45991060734301,0.38017878531397975,156,0x9C,0.37851562500000013,0.37851562500000013,-0.001663160313979617,-0.12522618834670057,1,1
61,45,3.05e-05,3.0875e-05,1.4147550803354245,1.8852449196645753,-0.470489839329151,92,0x5C,-0.47148437499999996,-0.47148437499999996,-0.0009945356708489506,-0.07488268580509745,1,1
62,46,3.1e-05,3.1375000000000004e-05,1.929473061807506,1.3705269381924938,0.558946123615012,170,0xAA,0.5644531249999998,0.5644531249999998,0.005507001384987831,0.4146448101637896,1,1
63,47,3.15e-05,3.1875e-05,1.3274005375365578,1.972599462463442,-0.6451989249268841,79,0x4F,-0.6441406249999999,-0.6441406249999999,0.0010582999268842208,0.07968375920069427,1,1
64,48,3.2e-05,3.2375e-05,2.0144541083063046,1.2855458916936953,0.7289082166126095,182,0xB6,0.723828125,0.723828125,-0.005080091612609472,-0.38250101553765437,1,1
65,49,3.25e-05,3.2875e-05,1.2451280004654979,2.0548719995345017,-0.8097439990690041,67,0x43,-0.803515625,-0.803515625,0.006228374069004117,0.46895992990148644,1,1
66,50,3.3e-05,3.3375000000000005e-05,2.0936938003347896,1.20630619966521,0.8873876006695798,194,0xC2,0.8832031249999999,0.8832031249999999,-0.004184475669579912,-0.3150664033566052,1,1
67,51,3.35e-05,3.3875000000000003e-05,1.1692335329824985,2.1307664670175015,-0.9615329340350027,55,0x37,-0.962890625,-0.962890625,-0.0013576909649972713,-0.10222614324685336,1,1
68,52,3.4e-05,3.4375e-05,2.165943851346904,1.1340561486530958,1.0318877026938085,205,0xCD,1.0292968749999998,1.0292968749999998,-0.002590827693808695,-0.19507408518088998,1,1
69,53,3.45e-05,3.4875e-05,1.1009127233117544,2.199087276688245,-1.098174553376491,45,0x2D,-1.095703125,-1.095703125,0.0024714283764910583,0.18608401893579735,1,1
70,54,3.5e-05,3.5375e-05,2.2300660847001024,1.0699339152998975,1.1601321694002051,215,0xD7,1.1621093749999998,1.1621093749999998,0.0019772055997946403,0.14887195104336115,1,1
71,55,3.55e-05,3.5875000000000005e-05,1.0412418495829119,2.258758150417088,-1.2175163008341763,36,0x24,-1.215234375,-1.215234375,0.0022819258341761905,0.17181559222032494,1,1
72,56,3.6e-05,3.6375e-05,2.285050363692043,1.0149496363079566,1.2701007273840865,223,0xDF,1.268359375,1.268359375,-0.0017413523840865697,-0.13111359127240055,1,1
73,57,3.65e-05,3.6875e-05,0.9911609248999984,2.3088390751000016,-1.317678150200003,28,0x1C,-1.321484375,-1.321484375,-0.0038062247999970378,-0.2865863378821299,1,1
74,58,3.7e-05,3.7375e-05,2.3300305045459844,0.9699694954540153,1.3600610090919691,230,0xE6,1.3613281249999998,1.3613281249999998,0.001267115908030636,0.09540637425171848,1,1
75,59,3.75e-05,3.7875e-05,0.9514588890341745,2.3485411109658254,-1.3970822219316508,22,0x16,-1.401171875,-1.401171875,-0.004089653068349186,-0.3079268192639387,1,1
76,60,3.8e-05,3.8375000000000004e-05,2.364297921662584,0.9357020783374159,1.428595843325168,235,0xEB,1.4277343749999998,1.4277343749999998,-0.000861468325168202,-0.06486349742442933,1,1
77,61,3.85e-05,3.8875e-05,0.92276118001976,2.37723881998024,-1.4544776399604797,18,0x12,-1.454296875,-1.454296875,0.0001807649604796957,0.013610538200824147,1,1
78,62,3.9e-05,3.9375e-05,2.3873127901805953,0.9126872098194047,1.4746255803611905,239,0xEF,1.4808593749999999,1.4808593749999999,0.0062337946388093535,0.469368066922116,1,1
79,63,3.95e-05,3.9875e-05,0.9055198814419898,2.3944801185580102,-1.4889602371160202,15,0x0F,-1.494140625,-1.494140625,-0.005180387883979787,-0.39005273479377217,1,1
