bin,frequency_hz,power_linear,power_dbfs,classification,folded_harmonic_order,is_fundamental,is_largest_spur
16389,500152.587890625,1.352255309960169e-11,-110.28809151611947,noise,,0,0
16390,500183.10546875,1.2511673623652987e-38,-380.6255244012482,noise,,0,0
16391,500213.623046875,4.081233819550321e-11,-105.49076370272851,noise,,0,0
16392,500244.140625,1.073374176213428e-39,-391.291167044953,noise,,0,0
16393,500274.658203125,4.878621341076993e-08,-74.71570735859287,noise,,0,0
16394,500305.17578125,1.100148232255207e-39,-391.1841664183135,noise,,0,0
16395,500335.693359375,8.392774631200212e-12,-112.35962285809589,noise,,0,0
16396,500366.2109375,2.7267919675137715e-39,-387.2421584109341,noise,,0,0
16397,500396.728515625,2.0058873648020974e-11,-108.57561304359457,noise,,0,0
16398,500427.24609375,4.827804822563907e-40,-394.7611814287456,noise,,0,0
16399,500457.763671875,1.283361239974874e-11,-110.51518928483995,noise,,0,0
16400,500488.28125,3.986592381315883e-40,-395.592660146394,noise,,0,0
16401,500518.798828125,4.552373304874581e-12,-115.01629979118636,noise,,0,0
16402,500549.31640625,1.8361081349290944e-40,-398.9596959232969,noise,,0,0
16403,500579.833984375,1.9099600450336563e-11,-108.78843564872538,noise,,0,0
16404,500610.3515625,6.6618900259861305e-37,-363.3627038798112,noise,,0,0
16405,500640.869140625,4.674415126874065e-11,-104.90140568367777,noise,,0,0
16406,500671.38671875,5.177094854628458e-40,-394.45781724903,noise,,0,0
16407,500701.904296875,4.528055307469948e-10,-95.03956124234278,noise,,0,0
16408,500732.421875,4.015429860077915e-40,-395.5613580286593,noise,,0,0
16409,500762.939453125,4.65912704015382e-12,-114.91563294599791,noise,,0,0
16410,500793.45703125,2.5642882200056706e-39,-387.50901009817073,noise,,0,0
16411,500823.974609375,5.717177321092044e-12,-114.02686184810506,noise,,0,0
16412,500854.4921875,3.370124771390034e-39,-386.32221867134257,noise,,0,0
16413,500885.009765625,3.1849452032661696e-12,-116.5676588235961,noise,,0,0
16414,500915.52734375,1.7115792142591874e-39,-389.2647084340275,noise,,0,0
16415,500946.044921875,2.414245398165449e-10,-97.77086434830623,noise,,0,0
16416,500976.5625,8.331442679992419e-40,-392.39147636356853,noise,,0,0
16417,501007.080078125,1.1763044847732882e-11,-110.89348094280317,noise,,0,0
16418,501037.59765625,8.728642160884279e-38,-372.18921157556565,noise,,0,0
16419,501068.115234375,2.1718450355439914e-11,-108.23039012644018,noise,,0,0
16420,501098.6328125,7.531510231915276e-40,-392.829857766524,noise,,0,0
16421,501129.150390625,1.4974761323408344e-13,-129.8450793801805,noise,,0,0
16422,501159.66796875,4.4349965782681663e-41,-405.1297455799581,noise,,0,0
16423,501190.185546875,3.6347434524106534e-12,-115.99394084204066,noise,,0,0
16424,501220.703125,2.0737241827343624e-39,-388.4311685486704,noise,,0,0
16425,501251.220703125,1.688524598924336e-11,-109.32360455144956,noise,,0,0
16426,501281.73828125,6.75101662380555e-39,-383.3049866968912,noise,,0,0
16427,501312.255859375,1.960609299537475e-11,-108.67476788845602,noise,,0,0
16428,501342.7734375,4.689442541518156e-40,-394.88746628158276,noise,,0,0
16429,501373.291015625,1.0931411439743746e-08,-81.21191606376422,noise,,0,0
16430,501403.80859375,8.008531254319702e-40,-392.5631497228579,noise,,0,0
16431,501434.326171875,2.736269293892443e-11,-107.22709010222752,noise,,0,0
16432,501464.84375,3.662016194517878e-39,-385.9614758654409,noise,,0,0
16433,501495.361328125,6.373369786572689e-14,-133.55498729866588,noise,,0,0
16434,501525.87890625,6.366418167199684e-39,-383.5597268598651,noise,,0,0
16435,501556.396484375,1.5695497416797862e-10,-99.64092763313442,noise,,0,0
16436,501586.9140625,5.667510638252209e-40,-394.0647550309685,noise,,0,0
16437,501617.431640625,3.6253344118667823e-10,-96.00519773694563,noise,,0,0
16438,501647.94921875,9.088803717637631e-40,-392.01361122618516,noise,,0,0
16439,501678.466796875,5.536265945393238e-13,-124.1665090295553,noise,,0,0
16440,501708.984375,1.4298337695267148e-37,-370.04582297161517,noise,,0,0
16441,501739.501953125,2.0139796194824886e-11,-108.55812775706684,noise,,0,0
16442,501770.01953125,1.1953738532468232e-41,-410.82364094938066,noise,,0,0
16443,501800.537109375,4.700616805182564e-09,-84.87712998196972,noise,,0,0
16444,501831.0546875,5.367294792885099e-40,-394.3011239799384,noise,,0,0
16445,501861.572265625,4.721567383480754e-11,-104.85781655026324,noise,,0,0
16446,501892.08984375,1.255994541135625e-39,-390.6088009523902,noise,,0,0
16447,501922.607421875,6.893672205018354e-12,-113.21417218286996,noise,,0,0
16448,501953.125,4.613718430975051e-39,-384.9581676050635,noise,,0,0
16449,501983.642578125,8.391077900029093e-13,-122.36050094134407,noise,,0,0
16450,502014.16015625,1.4407434272665004e-40,-400.0128120010476,noise,,0,0
16451,502044.677734375,1.4225433684024295e-11,-110.06802331694519,noise,,0,0
16452,502075.1953125,1.9903163582381416e-39,-388.60945734643985,noise,,0,0
16453,502105.712890625,2.071795727181365e-11,-108.43520914036402,noise,,0,0
16454,502136.23046875,6.054986580311477e-38,-373.77754662140853,noise,,0,0
16455,502166.748046875,2.6564961093589e-11,-107.35558662903728,noise,,0,0
16456,502197.265625,4.682656380943819e-40,-394.89375557201845,noise,,0,0
16457,502227.783203125,8.980130243857494e-10,-92.06585211563522,noise,,0,0
16458,502258.30078125,1.3841968094428439e-39,-390.18670003230284,noise,,0,0
16459,502288.818359375,1.6310710620725482e-10,-99.47394964413002,noise,,0,0
16460,502319.3359375,7.773793242701095e-39,-382.69234861446677,noise,,0,0
16461,502349.853515625,4.84365469089639e-12,-114.74694672816376,noise,,0,0
16462,502380.37109375,8.873792054040762e-39,-382.1175859972812,noise,,0,0
16463,502410.888671875,1.574690717708263e-11,-109.6267257962252,noise,,0,0
16464,502441.40625,4.004901570655571e-40,-395.572760002919,noise,,0,0
16465,502471.923828125,1.0429070450000856e-08,-81.41622245897648,noise,,0,0
16466,502502.44140625,2.9576723108549933e-40,-396.88917791519196,noise,,0,0
