code,transition_dnl_lsb,ramp_hist_dnl_lsb,ramp_hist_inl_lsb,sine_count,sine_expected_count,sine_corrected_dnl_lsb,sine_residual_sigma,sine_valid_for_cdf_check
161,-6.661338147750939e-15,0.0,0.0,774,773.6376850653323,0.0004683263776597002,0.01304545463044951,True
162,-6.661338147750939e-15,0.0,0.0,775,775.9087578423787,-0.0011712174056466296,-0.032672812664819424,True
163,2.6867397195928788e-14,0.0,0.0,779,778.2676457711204,0.0009410056204430806,0.02629071172384624,True
164,-6.661338147750939e-15,0.0,0.0,781,780.7165168859938,0.0003631063361346776,0.010160806556770888,True
165,-6.661338147750939e-15,0.0,0.0,783,783.2576578673907,-0.0003289567166087082,-0.009220211142853943,True
166,-6.661338147750939e-15,0.0,0.0,786,785.8934806865582,0.0001355391233792691,0.0038053840096923717,True
167,-6.661338147750939e-15,0.0,0.0,788,788.6265297681093,-0.0007944568746546254,-0.02234396606215547,True
168,2.6867397195928788e-14,0.0,0.0,792,791.459489715402,0.0006829285536678054,0.019241822961902084,True
169,-6.661338147750939e-15,0.0,0.0,794,794.3951936484955,-0.0004974773911715635,-0.014042702305019463,True
170,-6.661338147750939e-15,0.0,0.0,797,797.4366322116402,-0.0005475447126491728,-0.01548564306514274,True
171,-6.661338147750939e-15,0.0,0.0,801,800.5869633109251,0.0005159173306630294,0.01462003982157361,True
172,-6.661338147750939e-15,0.0,0.0,804,803.8495226510859,0.00018719591748705966,0.005315579829009421,True
173,2.6867397195928788e-14,0.0,0.0,807,807.2278351479617,-0.0002822439193018722,-0.00803142038017515,True
174,-6.661338147750939e-15,0.0,0.0,811,810.7256273005332,0.0003384285511984775,0.009651094129976483,True
175,-6.661338147750939e-15,0.0,0.0,814,814.3468406182947,-0.00042591264679225915,-0.012173090725085687,True
176,-6.661338147750939e-15,0.0,0.0,818,818.0956462082104,-0.00011691323460005787,-0.0033492259450014707,True
177,-6.661338147750939e-15,0.0,0.0,822,821.9764606405224,2.86375104454617e-05,0.0008223314604372466,True
178,2.6867397195928788e-14,0.0,0.0,826,825.9939632246969,7.30849809049694e-06,0.00021037874867508856,True
179,-6.661338147750939e-15,0.0,0.0,831,830.1531148442009,0.0010201553673119257,0.029439753479866042,True
180,-6.661338147750939e-15,0.0,0.0,834,834.4591785170196,-0.0005502707967520726,-0.015921036598684206,True
181,-6.661338147750939e-15,0.0,0.0,839,838.9177418691688,9.805267754603442e-05,0.0028445605309619687,True
182,-6.661338147750939e-15,0.0,0.0,843,843.534741733718,-0.0006339297094259955,-0.018441339459099256,True
183,2.6867397195928788e-14,0.0,0.0,849,848.3164911138301,0.0008057239171106456,0.023505476173233866,True
184,-6.661338147750939e-15,0.0,0.0,853,853.2697087817069,-0.00031608854613152104,-0.009248256848058179,True
185,-6.661338147750939e-15,0.0,0.0,858,858.4015518207743,-0.0004677901850510535,-0.013728041297075087,True
186,-6.661338147750939e-15,0.0,0.0,864,863.7196514615789,0.00032458279483016383,0.009554952670051239,True
187,-6.661338147750939e-15,0.0,0.0,869,869.2321526094456,-0.000267077798202342,-0.007887273561705746,True
188,2.6867397195928788e-14,0.0,0.0,875,874.9477575213532,5.970925486442624e-05,0.001769125688617419,True
189,-6.661338147750939e-15,0.0,0.0,881,880.8757741528971,0.0001410253871749756,0.004192620339096364,True
190,-6.661338147750939e-15,0.0,0.0,887,887.0261697755777,-2.9502822430083064e-05,-0.0008801725028190902,True
191,-6.661338147750939e-15,0.0,0.0,894,893.4096305546991,0.0006608048817811074,0.01978517419430705,True
192,-6.661338147750939e-15,0.0,0.0,900,900.0376278847689,-4.180701295486422e-05,-0.0012563952969910914,True
193,2.6867397195928788e-14,0.0,0.0,907,906.9224924043519,8.54622046506659e-05,0.0025781710719187776,True
194,-6.661338147750939e-15,0.0,0.0,914,914.0774967615725,-8.478139090739578e-05,-0.002567737041263108,True
195,-6.661338147750939e-15,0.0,0.0,921,921.5169483770151,-0.0005609754415537571,-0.01705926033831668,True
196,-6.661338147750939e-15,0.0,0.0,930,929.2562936600298,0.0008003242432086388,0.024440205098858695,True
197,-6.661338147750939e-15,0.0,0.0,937,937.3122353859653,-0.00033311779594635826,-0.010216868234189115,True
198,2.6867397195928788e-14,0.0,0.0,945,945.702865240688,-0.0007432199547254825,-0.022897048512485946,True
199,-6.661338147750939e-15,0.0,0.0,955,954.4478139021085,0.000578539852937654,0.017906117715184633,True
200,-6.661338147750939e-15,0.0,0.0,963,963.5684214642388,-0.0005899129232307398,-0.01834546959786979,True
201,-6.661338147750939e-15,0.0,0.0,974,973.0879315414932,0.0009372929505579997,0.029292669524913943,True
202,-6.661338147750939e-15,0.0,0.0,983,983.0317130381882,-3.226044263637817e-05,-0.0010133743608916502,True
203,2.6867397195928788e-14,0.0,0.0,993,993.4275143634295,-0.0004303427852040409,-0.013589612970605144,True
204,-6.661338147750939e-15,0.0,0.0,1004,1004.3057558492292,-0.0003044449834608276,-0.009666634844184563,True
