bin,frequency_hz,power_linear,power_dbfs,classification,folded_harmonic_order,is_fundamental,is_largest_spur
19950,608825.68359375,9.719983507745383e-40,-391.7220231904913,noise,,0,0
19951,608856.201171875,8.030039002423217e-13,-122.55150192412137,noise,,0,0
19952,608886.71875,8.966574189960011e-41,-402.07241300880133,noise,,0,0
19953,608917.236328125,3.038356429183067e-11,-106.77229127550152,noise,,0,0
19954,608947.75390625,2.553856929872476e-38,-377.5267128318134,noise,,0,0
19955,608978.271484375,4.931566715605226e-13,-124.66882934336732,noise,,0,0
19956,609008.7890625,7.066547334215389e-39,-383.1066057473197,noise,,0,0
19957,609039.306640625,4.4364464269368136e-11,-105.12832605602804,noise,,0,0
19958,609069.82421875,5.407443288041396e-40,-394.2687587373314,noise,,0,0
19959,609100.341796875,4.937116189047362e-12,-114.66394499158358,noise,,0,0
19960,609130.859375,1.316437775898236e-38,-380.4046751097497,noise,,0,0
19961,609161.376953125,8.642976541778685e-12,-112.23204512825559,noise,,0,0
19962,609191.89453125,8.780032760294064e-41,-402.16371710732204,noise,,0,0
19963,609222.412109375,4.021062548379328e-11,-105.55527018405293,noise,,0,0
19964,609252.9296875,2.364379801500847e-40,-397.8615060650461,noise,,0,0
19965,609283.447265625,3.165225279000543e-11,-106.59463221540128,noise,,0,0
19966,609313.96484375,8.660760962342872e-39,-382.223117948873,noise,,0,0
19967,609344.482421875,3.1733200238968306e-11,-106.58353974927846,noise,,0,0
19968,609375.0,1.0111456456519192e-39,-391.55054131118555,noise,,0,0
19969,609405.517578125,5.0896045720923665e-11,-104.53183805193788,noise,,0,0
19970,609436.03515625,1.60887149152534e-39,-389.5334649084332,noise,,0,0
19971,609466.552734375,8.45171086142189e-11,-102.32923215957544,noise,,0,0
19972,609497.0703125,3.2244032412172796e-40,-396.51418498052396,noise,,0,0
19973,609527.587890625,5.076400648802499e-13,-124.54311956148707,noise,,0,0
19974,609558.10546875,1.0555094497487364e-39,-391.3640572128654,noise,,0,0
19975,609588.623046875,4.314065156087758e-12,-115.24981147050268,noise,,0,0
19976,609619.140625,1.0762008783966792e-39,-391.2797450491018,noise,,0,0
19977,609649.658203125,2.3358886407055338e-12,-117.91415712367908,noise,,0,0
19978,609680.17578125,2.0532534741003975e-39,-388.47425280767277,noise,,0,0
19979,609710.693359375,7.402346347944216e-11,-102.90498445679324,noise,,0,0
19980,609741.2109375,2.0924070415093267e-39,-388.3922167421762,noise,,0,0
19981,609771.728515625,5.5936071607741034e-12,-114.12175884502686,noise,,0,0
19982,609802.24609375,3.3421447667036475e-40,-396.3584258944098,noise,,0,0
19983,609832.763671875,4.6837650904056223e-11,-104.892727417552,noise,,0,0
19984,609863.28125,4.485099665288418e-40,-395.08095748964655,noise,,0,0
19985,609893.798828125,2.9248967759641705e-10,-96.93757303313753,noise,,0,0
19986,609924.31640625,5.0997391271499615e-40,-394.52319886394037,noise,,0,0
19987,609954.833984375,7.664464295398365e-11,-102.75386041676842,noise,,0,0
19988,609985.3515625,1.369161464535441e-39,-390.23413179804595,noise,,0,0
19989,610015.869140625,6.848475074319413e-11,-103.24273967649079,noise,,0,0
19990,610046.38671875,1.796274076119119e-39,-389.0549524490332,noise,,0,0
19991,610076.904296875,5.186253612835197e-11,-104.45014096718282,noise,,0,0
19992,610107.421875,1.6815969249282392e-39,-389.34145942585326,noise,,0,0
19993,610137.939453125,2.6329824874159715e-11,-107.39419876571345,noise,,0,0
19994,610168.45703125,2.04750842897274e-39,-388.48642148797444,noise,,0,0
19995,610198.974609375,1.1695455614202966e-10,-100.91850702017938,noise,,0,0
19996,610229.4921875,3.3917175671354464e-41,-406.29448166285437,noise,,0,0
19997,610260.009765625,3.2805651261915085e-10,-96.4391918324499,noise,,0,0
19998,610290.52734375,5.418562476315417e-40,-394.2598376192131,noise,,0,0
