transition_code,point,delta_lsb,vdiff_v,expected_code,direct_code,sar_code,oracle_code,status
109,minus_eps,-0.0001,-0.25234507812500007,108,108,108,108,PASS
109,exact,0.0,-0.2523437500000001,109,109,109,109,PASS
109,plus_eps,0.0001,-0.2523424218750001,109,109,109,109,PASS
110,minus_eps,-0.0001,-0.23906382812499996,109,109,109,109,PASS
110,exact,0.0,-0.23906249999999996,110,110,110,110,PASS
110,plus_eps,0.0001,-0.23906117187499995,110,110,110,110,PASS
111,minus_eps,-0.0001,-0.22578257812500005,110,110,110,110,PASS
111,exact,0.0,-0.22578125000000004,111,111,111,111,PASS
111,plus_eps,0.0001,-0.22577992187500004,111,111,111,111,PASS
112,minus_eps,-0.0001,-0.21250132812499992,111,111,111,111,PASS
112,exact,0.0,-0.2124999999999999,112,112,112,112,PASS
112,plus_eps,0.0001,-0.2124986718749999,112,112,112,112,PASS
113,minus_eps,-0.0001,-0.199220078125,112,112,112,112,PASS
113,exact,0.0,-0.19921875,113,113,113,113,PASS
113,plus_eps,0.0001,-0.199217421875,113,113,113,113,PASS
114,minus_eps,-0.0001,-0.1859388281250001,113,113,113,113,PASS
114,exact,0.0,-0.1859375000000001,114,114,114,114,PASS
114,plus_eps,0.0001,-0.18593617187500008,114,114,114,114,PASS
115,minus_eps,-0.0001,-0.17265757812499996,114,114,114,114,PASS
115,exact,0.0,-0.17265624999999996,115,115,115,115,PASS
115,plus_eps,0.0001,-0.17265492187499995,115,115,115,115,PASS
116,minus_eps,-0.0001,-0.15937632812500005,115,115,115,115,PASS
116,exact,0.0,-0.15937500000000004,116,116,116,116,PASS
116,plus_eps,0.0001,-0.15937367187500004,116,116,116,116,PASS
117,minus_eps,-0.0001,-0.14609507812499992,116,116,116,116,PASS
117,exact,0.0,-0.1460937499999999,117,117,117,117,PASS
117,plus_eps,0.0001,-0.1460924218749999,117,117,117,117,PASS
118,minus_eps,-0.0001,-0.132813828125,117,117,117,117,PASS
118,exact,0.0,-0.1328125,118,118,118,118,PASS
118,plus_eps,0.0001,-0.132811171875,118,118,118,118,PASS
119,minus_eps,-0.0001,-0.1195325781250001,118,118,118,118,PASS
119,exact,0.0,-0.11953125000000009,119,119,119,119,PASS
119,plus_eps,0.0001,-0.11952992187500008,119,119,119,119,PASS
120,minus_eps,-0.0001,-0.10625132812499996,119,119,119,119,PASS
120,exact,0.0,-0.10624999999999996,120,120,120,120,PASS
120,plus_eps,0.0001,-0.10624867187499995,120,120,120,120,PASS
121,minus_eps,-0.0001,-0.09297007812500005,120,120,120,120,PASS
121,exact,0.0,-0.09296875000000004,121,121,121,121,PASS
121,plus_eps,0.0001,-0.09296742187500004,121,121,121,121,PASS
122,minus_eps,-0.0001,-0.07968882812499992,121,121,121,121,PASS
122,exact,0.0,-0.07968749999999991,122,122,122,122,PASS
