timestamp_utc,process_count,total_threads,total_rss_kb,pids
2026-07-25T13:36:36.951500+00:00,0,0,0,
2026-07-25T13:43:23.470008+00:00,4,16,473864,1576434;1576435;1576488;1576522
2026-07-25T13:43:25.472579+00:00,4,16,484736,1576434;1576435;1576488;1576522
2026-07-25T13:43:27.475014+00:00,4,16,495824,1576434;1576435;1576488;1576522
2026-07-25T13:43:29.477443+00:00,4,16,505968,1576434;1576435;1576488;1576522
2026-07-25T13:43:31.480463+00:00,4,16,107328,1576975;1577009;1577036;1577063
2026-07-25T13:43:33.482622+00:00,4,16,114608,1576975;1577009;1577036;1577063
2026-07-25T13:43:35.485114+00:00,4,16,126536,1576975;1577009;1577036;1577063
2026-07-25T13:43:37.487183+00:00,4,16,156596,1576975;1577009;1577036;1577063
2026-07-25T13:43:39.489265+00:00,4,16,162916,1576975;1577009;1577036;1577063
2026-07-25T13:43:41.491466+00:00,4,16,169276,1576975;1577009;1577036;1577063
2026-07-25T13:43:43.494020+00:00,4,16,187420,1576975;1577009;1577036;1577063
2026-07-25T13:43:45.496171+00:00,4,16,200088,1576975;1577009;1577036;1577063
2026-07-25T13:43:47.498553+00:00,4,16,209388,1576975;1577009;1577036;1577063
2026-07-25T13:43:49.501038+00:00,4,16,218928,1576975;1577009;1577036;1577063
2026-07-25T13:43:51.503646+00:00,4,16,228588,1576975;1577009;1577036;1577063
2026-07-25T13:43:53.506116+00:00,4,16,238308,1576975;1577009;1577036;1577063
2026-07-25T13:43:55.508551+00:00,4,16,251180,1576975;1577009;1577036;1577063
2026-07-25T13:43:57.511161+00:00,4,16,271888,1576975;1577009;1577036;1577063
2026-07-25T13:43:59.514033+00:00,4,16,283696,1576975;1577009;1577036;1577063
2026-07-25T13:44:01.516065+00:00,4,16,295288,1576975;1577009;1577036;1577063
2026-07-25T13:44:03.519094+00:00,4,16,307024,1576975;1577009;1577036;1577063
2026-07-25T13:44:05.521140+00:00,4,16,317680,1576975;1577009;1577036;1577063
2026-07-25T13:44:07.523601+00:00,4,16,328768,1576975;1577009;1577036;1577063
2026-07-25T13:44:09.524599+00:00,4,16,340216,1576975;1577009;1577036;1577063
2026-07-25T13:44:11.527062+00:00,4,16,351880,1576975;1577009;1577036;1577063
2026-07-25T13:44:13.529198+00:00,4,16,363328,1576975;1577009;1577036;1577063
2026-07-25T13:44:15.531772+00:00,4,16,373696,1576975;1577009;1577036;1577063
2026-07-25T13:44:17.534371+00:00,4,16,384568,1576975;1577009;1577036;1577063
2026-07-25T13:44:19.536383+00:00,4,16,395800,1576975;1577009;1577036;1577063
2026-07-25T13:44:21.539022+00:00,4,16,407392,1576975;1577009;1577036;1577063
2026-07-25T13:44:23.541056+00:00,4,16,418840,1576975;1577009;1577036;1577063
2026-07-25T13:44:25.543576+00:00,4,16,429640,1576975;1577009;1577036;1577063
2026-07-25T13:44:27.545781+00:00,4,16,440584,1576975;1577009;1577036;1577063
2026-07-25T13:44:29.548339+00:00,4,16,451888,1576975;1577009;1577036;1577063
2026-07-25T13:44:31.550558+00:00,4,16,463336,1576975;1577009;1577036;1577063
2026-07-25T13:44:33.553177+00:00,4,16,474856,1576975;1577009;1577036;1577063
2026-07-25T13:44:35.555623+00:00,4,16,485872,1576975;1577009;1577036;1577063
2026-07-25T13:44:37.558155+00:00,4,16,497032,1576975;1577009;1577036;1577063
2026-07-25T13:44:39.558685+00:00,4,16,506672,1576975;1577009;1577036;1577063
2026-07-25T13:44:41.561523+00:00,4,16,106996,1577495;1577529;1577556;1577583
