job_id,category,pvt,mismatch_seed,noise_seed,band,nfft,bin,fin_hz,maxstep_ps,solver_profile,required,state,attempt_count,measurement_stem,compact_code_checksum_sha256
D3_S034_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,34,100034,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s034_near_nyquist_050ps,1978e6edb13c13a3229154c564303068c6750ac3437b22674360bb99d7414582
D3_S035_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,35,100035,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s035_low_050ps,5e486c7bdd8d0ba113c08c99784600416c7d586b6c41d75665ac185f9464e4d7
D3_S035_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,35,100035,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s035_near_nyquist_050ps,eca809e9a138d6cde225f0e72bca9fcf09dc1144506be4f8dca1a38e4fadd3a7
D3_S036_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,36,100036,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s036_low_050ps,c34d3ab2c49d28485f91b7af5acaed0d897c7516e31ba2807104c9287b044a07
D3_S036_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,36,100036,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s036_near_nyquist_050ps,7f72b02e0a9c645d52d2854548e517f1a46d2b6cf8d1a32ab6cbd9ea7ccd9c27
D3_S037_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,37,100037,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s037_low_050ps,3831f0bbea69e0e482e0e20e55a25c89c627e1c0e9687da23ffca75f36d953b4
D3_S037_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,37,100037,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s037_near_nyquist_050ps,09bec09b89b993a8902f8e2d0dcec8ef3ab122647e760a081666a47ba4e96273
D3_S038_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,38,100038,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s038_low_050ps,791356ec0c554c145f5cc2e4a72daae22c88884da639cbe6f638c4c212d6bc13
D3_S038_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,38,100038,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s038_near_nyquist_050ps,398147787e22c633c43712ff7b8287a84fdf1d35cc96f0aef41919496c28eea1
D3_S039_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,39,100039,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s039_low_050ps,12fd32ea9109f3d1fe3eb0c4dfc4f36299c86c70a700aac7048075ea14e0cd9e
D3_S039_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,39,100039,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s039_near_nyquist_050ps,6eed82e6f87dd27500f7b5bfa8f4b230a4b2246851e8095bc03bfa4a728315e6
D3_S040_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,40,100040,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s040_low_050ps,5142bb6d9bdc6e023f3d6683a6dac94b6f194306ee7bd6b8f1ed6b9022e4efd5
